raw_title,raw_price,is_sold,auction_url
Recaro Porsche Sport Seats & 964 Interior Components,5100,True,https://bringatrailer.com/listing/seats-211/
2002 Porsche 911 Carrera Targa 6-Speed,35250,True,https://bringatrailer.com/listing/2002-porsche-911-carrera-targa-36/
Safari-Style 2005 Porsche 911 Carrera 4S Coupe 6-Speed,44000,True,https://bringatrailer.com/listing/2005-porsche-911-carrera-4s-coupe-7/
2001 Porsche 911 Turbo Coupe 6-Speed,64000,True,https://bringatrailer.com/listing/2001-porsche-911-turbo-coupe-128/
35k-Mile 1997 Porsche 911 Carrera 4S Coupe 6-Speed,197500,True,https://bringatrailer.com/listing/1997-porsche-911-carrera-4s-126/
2018 Porsche 911 Carrera 4S Coupe 7-Speed,89000,True,https://bringatrailer.com/listing/2018-porsche-911-carrera-4s-coupe-15/
"2,900-Mile 2011 Porsche 911 Speedster",302000,True,https://bringatrailer.com/listing/2011-porsche-911-speedster-26/
2000 Porsche 911 Carrera Cabriolet 6-Speed,22750,True,https://bringatrailer.com/listing/2000-porsche-911-carrera-190-2/
2015 Porsche 911 Turbo Cabriolet,105000,True,https://bringatrailer.com/listing/2015-porsche-911-turbo-cabriolet-7/
1987 Porsche 911 Carrera Coupe G50,109000,True,https://bringatrailer.com/listing/1987-porsche-911-carrera-coupe-114/
2017 Porsche 911 Carrera S Cabriolet 7-Speed,95000,True,https://bringatrailer.com/listing/2017-porsche-911-carrera-s-cabriolet-16/
1990 Porsche 911 Carrera 4 Cabriolet 5-Speed,63000,True,https://bringatrailer.com/listing/1990-porsche-911-carrera-4-cabriolet-22/
41k-Mile 1999 Porsche 911 Carrera Coupe 6-Speed,40250,True,https://bringatrailer.com/listing/1999-porsche-911-carrera-coupe-203/
2013 Porsche 911 Carrera 4S Coupe,65600,True,https://bringatrailer.com/listing/2013-porsche-911-carrera-4s-coupe-26/
16×7″ and 16×8″ BBS RA Wheels for Porsche,1000,True,https://bringatrailer.com/listing/wheels-493/
16k-Mile 2018 Porsche 911 Carrera T 7-Speed,115000,True,https://bringatrailer.com/listing/2018-porsche-911-carrera-t-21/
2024 Porsche 911 Carrera GTS Cabriolet,179000,True,https://bringatrailer.com/listing/2024-porsche-911-carrera-gts-cabriolet/
9k-Mile 2015 Porsche 911 Turbo Cabriolet,128000,True,https://bringatrailer.com/listing/2015-porsche-911-turbo-cabriolet-6/
1997 Porsche 911 Carrera Coupe 6-Speed,83500,True,https://bringatrailer.com/listing/1997-porsche-911-carrera-coupe-17-2/
2023 Porsche 911 Turbo S Coupe,229000,True,https://bringatrailer.com/listing/2023-porsche-911-turbo-s-coupe-30-2/
47k-Mile 2007 Porsche 911 Carrera S Coupe X51 6-Speed,74500,True,https://bringatrailer.com/listing/2007-porsche-911-carrera-s-coupe-82/
11k-Mile 2016 Porsche 911 GT3 RS,205000,True,https://bringatrailer.com/listing/2016-porsche-911-gt3-rs-105/
1999 Porsche 911 Carrera Cabriolet,22250,True,https://bringatrailer.com/listing/1999-porsche-911-carrera-cabriolet-160/
2016 Porsche Macan S,17500,True,https://bringatrailer.com/listing/2016-porsche-macan-s-27/
2018 Porsche Macan S,27000,True,https://bringatrailer.com/listing/2018-porsche-macan-s-11/
2016 Porsche Macan S,19500,True,https://bringatrailer.com/listing/2016-porsche-macan-s-26/
39k-Mile 2017 Porsche Macan,21000,True,https://bringatrailer.com/listing/2017-porsche-macan-9/
2018 Porsche Macan Sport Edition,19000,True,https://bringatrailer.com/listing/2018-porsche-macan-15/
28k-Mile 2021 Porsche Macan,35000,True,https://bringatrailer.com/listing/2021-porsche-macan-12/
24k-Mile 2021 Porsche Macan GTS,53000,True,https://bringatrailer.com/listing/2021-porsche-macan-gts-16/
2017 Porsche Macan Turbo,14571,True,https://bringatrailer.com/listing/2017-porsche-macan-turbo-27/
2016 Porsche Macan S,20400,True,https://bringatrailer.com/listing/2016-porsche-macan-s-24/
2015 Porsche Macan S,15750,True,https://bringatrailer.com/listing/2015-porsche-macan-s-29/
2020 Porsche Macan,23600,True,https://bringatrailer.com/listing/2020-porsche-macan-3/
2021 Porsche Macan GTS,42000,True,https://bringatrailer.com/listing/2021-porsche-macan-gts-15/
2016 Porsche Macan S,19000,True,https://bringatrailer.com/listing/2016-porsche-macan-s-22-2/
"3,500-Mile 2020 Porsche Macan GTS",66000,True,https://bringatrailer.com/listing/2020-porsche-macan-gts-5/
2015 Porsche Macan S,16000,True,https://bringatrailer.com/listing/2015-porsche-macan-s-27/
2017 Porsche Macan GTS,23000,True,https://bringatrailer.com/listing/2017-porsche-macan-gts-32/
13k-Mile 2021 Porsche Macan Turbo,73250,True,https://bringatrailer.com/listing/2021-porsche-macan-turbo-3/
2015 Porsche Macan Turbo,27500,True,https://bringatrailer.com/listing/2015-porsche-macan-turbo-25/
23k-Mile 2018 Mercedes-AMG C63 S Coupe,54000,True,https://bringatrailer.com/listing/2018-mercedes-amg-c63-s-coupe-8/
40k-Mile 1996 Mercedes-Benz C280,5903,True,https://bringatrailer.com/listing/1996-mercedes-benz-c280-8/
Original-Owner 2012 Mercedes-Benz C350 Coupe,13250,True,https://bringatrailer.com/listing/2012-mercedes-benz-c350-coupe-3/
5k-Mile 2023 Mercedes-AMG C63 S Coupe Final Edition,90000,True,https://bringatrailer.com/listing/2023-mercedes-amg-c63-s-4/
19k-Mile 2005 Mercedes-Benz C240 Wagon,12000,True,https://bringatrailer.com/listing/2005-mercedes-benz-c240-wagon-4/
Japanese-Market 1999 Mercedes-Benz C43 AMG Wagon,21759,True,https://bringatrailer.com/listing/1999-mercedes-benz-c43-amg-47/
40k-Mile 2008 Mercedes-Benz C350 Sport Sedan,11250,True,https://bringatrailer.com/listing/2008-mercedes-benz-c350-sport-sedan-3/
2012 Mercedes-Benz C63 AMG,13000,True,https://bringatrailer.com/listing/2012-mercedes-benz-c63-amg-93/
26k-Mile 2012 Mercedes-Benz C63 AMG Coupe,37250,True,https://bringatrailer.com/listing/2012-mercedes-benz-c63-amg-92/
"2,700-Mile 2020 Mercedes-AMG C63 S Sedan",50500,True,https://bringatrailer.com/listing/2020-mercedes-benz-c63-s-amg-sedan/
