year,mileage,trim,is_amg,is_wagon,is_coupe,is_cabriolet,is_sedan,is_manual,price
2018.0,23000.0,C63,1,0,1,0,0,0,54000
1996.0,40000.0,C280,0,0,0,0,1,0,5903
2012.0,46000.0,C350,0,0,1,0,0,0,13250
2023.0,5000.0,C63,1,0,1,0,0,0,90000
2005.0,19000.0,C240,0,1,0,0,0,0,12000
1999.0,30500.0,C43,1,1,0,0,0,0,21759
2008.0,40000.0,C350,0,0,0,0,1,0,11250
2012.0,8500.0,C63,1,0,0,0,1,0,13000
2012.0,26000.0,C63,1,0,1,0,0,0,37250
2020.0,2700.0,C63,1,0,0,0,1,0,50500
2008.0,25500.0,C300,0,0,0,0,1,0,7050
2013.0,44000.0,C63,1,0,0,0,1,0,35000
2003.0,32500.0,C320,0,1,0,0,0,1,9300
2012.0,4200.0,C63,1,0,1,0,0,0,45000
2004.0,32000.0,C240,0,1,0,0,0,0,3800
2023.0,900.0,C63,1,0,1,0,0,0,87000
2015.0,42000.0,C300,0,0,0,0,1,0,10850
2012.0,46000.0,C350,0,0,1,0,0,0,10250
2012.0,8500.0,C63,1,0,1,0,0,0,30000
1998.0,24000.0,C280,0,0,0,0,1,0,5775
2010.0,5000.0,C63,1,1,0,0,0,0,34500
2005.0,37500.0,C55,1,0,0,0,1,0,13500
2003.0,32000.0,C240,0,0,0,0,1,0,3500
2017.0,30500.0,C43,1,0,0,0,1,0,19000
2012.0,46000.0,C250,0,0,0,0,1,0,6000
2012.0,46000.0,C350,0,0,0,0,1,0,8800
2004.0,32000.0,C240,0,0,0,0,1,0,4350
1998.0,22000.0,C43,1,0,0,0,1,0,53000
2000.0,42000.0,C230,0,0,0,0,1,0,11500
2019.0,3900.0,C63,1,0,0,1,0,0,55500
2003.0,27000.0,C240,0,0,0,0,1,0,6000
2017.0,24000.0,C300,0,0,0,0,1,0,11750
2014.0,39000.0,C63,1,0,0,0,1,0,39000
2007.0,30000.0,C230,0,0,0,0,1,0,8300
2006.0,32000.0,C230,0,0,0,0,1,0,6338
1997.0,30500.0,C280,0,0,0,0,1,0,4000
2003.0,40000.0,C32,1,0,0,0,1,0,5600
2009.0,25000.0,C63,1,1,0,0,0,0,16350
2018.0,12000.0,C63,1,0,1,0,0,0,50000
2012.0,46000.0,C250,0,0,0,0,1,0,6400
1999.0,27000.0,C230,0,0,0,0,1,0,13111
2019.0,30500.0,C300,0,0,0,0,1,0,20250
2015.0,31000.0,C350,0,0,1,0,0,0,19250
2014.0,16000.0,C300,0,0,0,0,1,0,16250
2012.0,6000.0,C63,1,0,0,0,1,0,162000
2002.0,38000.0,C240,0,0,0,0,1,0,6805
1999.0,41000.0,C280,0,0,0,0,1,0,9399
1998.0,20000.0,C230,0,0,0,0,1,0,3750
2005.0,43000.0,C240,0,0,0,0,1,0,10000
2009.0,25000.0,C63,1,1,0,0,0,0,19000
2023.0,154.0,C63,1,0,1,0,0,0,106000
2006.0,27000.0,C55,1,0,0,0,1,0,7500
2012.0,30500.0,C300,0,0,0,0,1,0,5200
2003.0,32000.0,C240,0,1,0,0,0,0,10000
2013.0,28000.0,C300,0,0,0,0,1,0,14263
2004.0,32000.0,C240,0,1,0,0,0,0,5500
2007.0,36000.0,C230,0,0,0,0,1,0,13500
2014.0,14000.0,C63,1,0,0,0,1,0,25250
2009.0,17000.0,C350,0,0,0,0,1,0,7600
2011.0,50000.0,C300,0,0,0,0,1,0,7500
2005.0,35000.0,C55,1,0,0,0,1,0,14500
2017.0,24000.0,C300,0,0,0,0,1,0,12000
1996.0,50000.0,C280,0,0,0,0,1,0,6523
2006.0,27000.0,C55,1,0,0,0,1,0,16614
2004.0,30500.0,C320,0,0,1,0,0,0,6600
2007.0,38000.0,C280,0,0,0,0,1,0,6600
2006.0,46000.0,C230,0,0,0,0,1,0,7100
2008.0,25500.0,C300,0,0,0,0,1,1,11600
2023.0,900.0,C63,1,0,1,0,0,0,105000
2011.0,32000.0,C63,1,0,0,0,1,0,38250
2015.0,42000.0,C300,0,0,0,0,1,0,13000
2009.0,30000.0,C63,1,0,0,0,1,0,26000
1999.0,35500.0,C230,0,0,0,0,1,0,4000
2006.0,14000.0,C280,0,0,0,0,1,0,4250
1999.0,30500.0,C43,1,0,0,0,1,0,12999
2012.0,14000.0,C63,1,0,0,0,1,0,130000
2008.0,25500.0,C300,0,0,0,0,1,1,12750
2016.0,36000.0,C300,0,0,0,0,1,0,18077
2015.0,30500.0,C400,0,0,0,0,1,0,16000
2007.0,38000.0,C280,0,0,0,0,1,0,5425
2009.0,2200.0,C63,1,0,0,0,1,0,33750
1995.0,33000.0,C36,1,0,0,0,1,0,7777
2000.0,30500.0,C220,0,1,0,0,0,1,34000
2002.0,22000.0,C230,0,0,1,0,0,0,6900
1995.0,33000.0,C280,0,0,0,0,1,0,6900
2013.0,30000.0,C300,0,0,0,0,1,0,14550
2006.0,14000.0,C280,0,0,0,0,1,0,8900
2019.0,13000.0,C63,1,0,1,0,0,0,59000
2017.0,14000.0,C63,1,0,0,1,0,0,43250
1999.0,19000.0,C280,0,0,0,0,1,0,5850
2005.0,34000.0,C55,1,0,0,0,1,0,27055
1995.0,33000.0,C36,1,0,0,0,1,0,9950
2004.0,32000.0,C240,0,1,0,0,0,0,3900
2010.0,32000.0,C300,0,0,0,0,1,0,14000
2014.0,14000.0,C63,1,0,1,0,0,0,26250
2012.0,9000.0,C63,1,0,0,0,1,0,150000
2006.0,14000.0,C280,0,0,0,0,1,0,6055
2001.0,40000.0,C240,0,0,0,0,1,0,6000
2005.0,22000.0,C230,0,0,1,0,0,0,8300
2005.0,35000.0,C230,0,0,0,0,1,0,11800
2004.0,33000.0,C230,0,0,0,0,1,1,10000
1997.0,41000.0,C230,0,0,0,0,1,0,6100
2003.0,40000.0,C32,1,0,0,0,1,0,12750
2009.0,3500.0,C63,1,0,0,0,1,0,37500
2015.0,29000.0,C63,1,0,0,0,1,0,35805
2005.0,35000.0,C230,0,0,0,0,1,1,3200
2014.0,11000.0,C63,1,0,0,0,1,0,48063
2004.0,32000.0,C240,0,1,0,0,0,0,5000
2014.0,14000.0,C63,1,0,0,0,1,0,31250
2005.0,50000.0,C240,0,0,0,0,1,0,9000
2012.0,26000.0,C63,1,0,0,0,1,0,38500
2006.0,17000.0,C230,0,0,0,0,1,0,9444
2009.0,33000.0,C63,1,0,0,0,1,0,25250
2017.0,14000.0,C63,1,0,0,1,0,0,41050
2007.0,38000.0,C280,0,0,0,0,1,0,6100
2008.0,30500.0,C250,0,0,0,0,1,0,4950
1999.0,30500.0,C43,1,1,0,0,0,0,24202
2005.0,46500.0,C240,0,0,0,0,1,0,8900
2007.0,30500.0,C350,0,0,0,0,1,0,9650
2010.0,5000.0,C63,1,1,0,0,0,0,26000
2017.0,28000.0,C300,0,0,0,1,0,0,24000
2009.0,17000.0,C350,0,0,0,0,1,0,15400
2013.0,27000.0,C63,1,0,0,0,1,0,43000
2018.0,30500.0,C43,1,0,0,0,1,0,17000
1995.0,44000.0,C220,0,0,0,0,1,0,4700
2013.0,39000.0,C63,1,0,1,0,0,0,29500
2009.0,25000.0,C63,1,0,0,0,1,0,15750
2015.0,2600.0,C63,1,0,1,0,0,0,75000
2016.0,40000.0,C63,1,0,0,0,1,0,37000
2013.0,6542.5,C250,0,0,0,0,1,0,6800
2014.0,14000.0,C63,1,0,1,0,0,0,38500
2004.0,30000.0,C230,0,0,0,0,1,0,6650
2005.0,37500.0,C55,1,0,0,0,1,0,17000
1999.0,30500.0,C43,1,0,0,0,1,0,25500
2008.0,34000.0,C300,0,0,0,0,1,1,16500
2005.0,37500.0,C55,1,0,0,0,1,0,13750
2018.0,4000.0,C63,1,0,0,0,1,0,51500
2014.0,30500.0,C250,0,0,0,0,1,0,7200
2005.0,37500.0,C55,1,0,0,0,1,0,15500
2000.0,32000.0,C230,0,0,0,0,1,0,2800
